depth	min	max	median	mean
109.5	7321	7828	7618	7607
110	7333	7838	7626	7616
110.5	7347	7845	7635	7625
111	7364	7856	7643	7634
111.5	7370	7867	7652	7643
112	7378	7881	7661	7652
112.5	7395	7888	7670	7662
113	7410	7896	7680	7672
113.5	7419	7903	7689	7682
114	7431	7912	7699	7692
114.5	7442	7922	7709	7702
115	7452	7933	7719	7712
115.5	7460	7947	7728	7722
116	7467	7959	7739	7732
116.5	7485	7967	7747	7742
117	7501	7974	7757	7751
117.5	7513	7983	7766	7760
118	7526	7989	7774	7770
118.5	7540	8000	7784	7779
119	7550	8011	7794	7789
119.5	7561	8023	7804	7798
120	7570	8033	7813	7808
120.5	7586	8046	7822	7817
121	7601	8053	7831	7827
121.5	7621	8060	7840	7837
122	7637	8069	7849	7847
122.5	7648	8079	7859	7856
123	7659	8087	7868	7866
123.5	7670	8099	7876	7876
124	7679	8109	7886	7886
124.5	7689	8123	7897	7896
125	7699	8137	7906	7907
125.5	7703	8152	7916	7918
126	7710	8170	7926	7928
126.5	7719	8192	7935	7939
127	7725	8210	7944	7950
127.5	7729	8231	7952	7960
128	7734	8256	7961	7971
128.5	7745	8268	7971	7982
129	7754	8284	7983	7992
129.5	7763	8295	7993	8003
130	7770	8312	8003	8013
130.5	7778	8325	8012	8024
131	7784	8347	8022	8034
131.5	7787	8366	8032	8045
132	7790	8392	8041	8055
132.5	7801	8402	8050	8066
133	7811	8416	8060	8077
133.5	7819	8429	8071	8087
134	7829	8448	8082	8098
134.5	7834	8473	8091	8109
135	7839	8492	8100	8119
135.5	7847	8516	8110	8130
136	7851	8539	8118	8140
136.5	7863	8554	8131	8151
137	7871	8568	8141	8162
137.5	7877	8583	8152	8172
138	7884	8594	8162	8183
138.5	7892	8607	8172	8193
139	7901	8625	8182	8204
139.5	7907	8648	8191	8214
140	7910	8673	8200	8225
140.5	7923	8681	8210	8235
141	7934	8693	8220	8246
141.5	7943	8703	8229	8256
142	7951	8713	8238	8266
142.5	7958	8723	8248	8277
143	7962	8741	8259	8287
143.5	7967	8752	8268	8298
144	7971	8774	8277	8308
144.5	7981	8784	8287	8318
145	7990	8798	8296	8329
145.5	7996	8812	8305	8339
146	8003	8825	8313	8350
146.5	8009	8842	8323	8360
147	8014	8857	8333	8371
147.5	8021	8877	8343	8381
148	8028	8897	8352	8392
148.5	8041	8910	8366	8405
149	8051	8925	8376	8419
149.5	8062	8939	8388	8433
150	8072	8955	8401	8446
150.5	8083	8971	8414	8460
151	8096	8988	8430	8473
151.5	8104	9007	8445	8487
152	8109	9022	8461	8501
152.5	8131	9034	8483	8522
153	8151	9052	8508	8543
153.5	8169	9070	8537	8565
154	8184	9097	8560	8586
154.5	8197	9118	8583	8608
155	8206	9137	8607	8629
155.5	8220	9159	8629	8650
156	8230	9189	8653	8672
156.5	8253	9203	8675	8693
157	8274	9217	8698	8715
157.5	8294	9232	8722	8736
158	8312	9252	8744	8758
158.5	8329	9273	8768	8779
159	8347	9303	8790	8801
159.5	8356	9328	8814	8823
160	8371	9353	8837	8844
160.5	8396	9363	8861	8866
161	8412	9378	8882	8887
161.5	8434	9393	8904	8909
162	8453	9412	8929	8930
162.5	8465	9441	8952	8952
163	8481	9465	8975	8973
163.5	8493	9488	8996	8995
164	8504	9520	9015	9016
164.5	8538	9534	9040	9039
165	8567	9547	9066	9061
165.5	8590	9560	9089	9084
166	8606	9575	9112	9107
166.5	8625	9587	9139	9129
167	8642	9609	9163	9152
167.5	8660	9629	9191	9175
168	8676	9657	9219	9197
168.5	8709	9666	9241	9220
169	8741	9681	9262	9242
169.5	8763	9694	9283	9264
170	8788	9709	9307	9287
170.5	8810	9727	9333	9309
171	8830	9746	9358	9332
171.5	8851	9768	9380	9354
172	8869	9791	9404	9377
172.5	8902	9807	9425	9400
173	8922	9817	9445	9423
173.5	8946	9827	9469	9446
174	8965	9850	9494	9469
174.5	8987	9870	9515	9492
175	9007	9888	9538	9515
175.5	9024	9908	9560	9538
176	9039	9932	9584	9562
176.5	9056	9938	9596	9574
177	9077	9943	9609	9587
177.5	9092	9951	9622	9600
178	9107	9961	9635	9612
178.5	9126	9973	9648	9625
179	9138	9984	9661	9638
179.5	9154	9998	9674	9651
180	9164	10012	9686	9663
180.5	9183	10019	9697	9674
181	9204	10023	9707	9685
181.5	9224	10030	9718	9696
182	9243	10037	9729	9707
182.5	9255	10045	9741	9718
183	9267	10053	9752	9729
183.5	9283	10064	9762	9740
184	9291	10073	9773	9751
184.5	9301	10078	9782	9762
185	9316	10084	9793	9773
185.5	9331	10093	9802	9783
186	9347	10099	9813	9794
186.5	9355	10107	9823	9805
187	9371	10119	9833	9816
187.5	9386	10129	9843	9826
188	9401	10138	9855	9837
188.5	9424	10143	9866	9848
189	9437	10149	9876	9858
189.5	9447	10155	9887	9869
190	9460	10162	9896	9879
190.5	9474	10168	9908	9890
191	9487	10176	9920	9901
191.5	9499	10186	9930	9911
192	9512	10194	9940	9922
192.5	9528	10203	9949	9933
193	9550	10207	9959	9943
193.5	9572	10212	9971	9954
194	9598	10219	9981	9965
194.5	9616	10227	9993	9976
195	9628	10239	10003	9987
195.5	9641	10248	10014	9998
196	9652	10262	10025	10008
196.5	9663	10267	10035	10018
197	9679	10272	10046	10028
197.5	9692	10276	10055	10038
198	9703	10281	10066	10047
198.5	9719	10291	10076	10057
199	9729	10298	10086	10067
199.5	9739	10309	10094	10077
200	9746	10320	10106	10086
200.5	9758	10326	10113	10094
201	9768	10331	10121	10102
201.5	9778	10338	10128	10109
202	9788	10348	10137	10117
202.5	9797	10357	10143	10125
203	9806	10364	10151	10133
203.5	9813	10376	10158	10140
204	9819	10391	10165	10148
204.5	9831	10399	10173	10156
205	9846	10405	10181	10163
205.5	9855	10411	10188	10171
206	9865	10418	10195	10179
206.5	9875	10426	10203	10186
207	9879	10436	10210	10194
207.5	9884	10450	10217	10202
208	9892	10461	10224	10209
208.5	9902	10467	10231	10217
209	9908	10474	10239	10225
209.5	9917	10479	10247	10232
210	9927	10486	10255	10240
210.5	9933	10496	10263	10247
211	9939	10503	10269	10255
211.5	9947	10515	10277	10263
212	9954	10530	10284	10270
212.5	9965	10534	10291	10278
213	9976	10542	10297	10285
213.5	9985	10550	10304	10292
214	9995	10558	10311	10300
214.5	10000	10564	10317	10307
215	10005	10572	10323	10314
215.5	10013	10581	10331	10321
216	10023	10589	10337	10329
216.5	10033	10596	10345	10336
217	10042	10602	10354	10344
217.5	10052	10610	10361	10352
218	10063	10615	10369	10359
218.5	10075	10623	10376	10367
219	10083	10629	10383	10375
219.5	10090	10643	10391	10382
220	10099	10654	10398	10390
220.5	10111	10659	10405	10397
221	10122	10664	10413	10405
221.5	10132	10669	10420	10413
222	10139	10677	10427	10420
222.5	10145	10685	10435	10428
223	10156	10692	10442	10435
223.5	10160	10698	10449	10443
224	10168	10706	10455	10450
224.5	10181	10711	10463	10458
225	10193	10716	10471	10466
225.5	10202	10719	10477	10473
226	10210	10724	10485	10481
226.5	10216	10733	10492	10489
227	10222	10740	10500	10497
227.5	10229	10750	10508	10504
228	10237	10761	10516	10512
228.5	10254	10767	10523	10520
229	10264	10773	10530	10528
229.5	10272	10779	10538	10536
230	10285	10790	10546	10543
230.5	10292	10799	10555	10551
231	10301	10809	10562	10559
231.5	10308	10818	10570	10567
232	10318	10828	10579	10575
232.5	10327	10832	10585	10582
233	10340	10836	10593	10590
233.5	10345	10842	10600	10597
234	10353	10850	10608	10605
234.5	10359	10856	10615	10612
235	10368	10861	10622	10620
235.5	10374	10873	10629	10627
236	10380	10885	10636	10635
236.5	10391	10889	10644	10642
237	10405	10893	10650	10650
237.5	10415	10899	10659	10657
238	10425	10905	10666	10665
238.5	10434	10911	10674	10673
239	10442	10920	10681	10680
239.5	10448	10927	10688	10688
240	10453	10937	10695	10695
240.5	10466	10943	10701	10703
241	10480	10947	10708	10710
241.5	10494	10952	10715	10718
242	10506	10959	10724	10726
242.5	10512	10965	10731	10733
243	10520	10972	10739	10741
243.5	10527	10980	10747	10748
244	10532	10991	10754	10756
244.5	10545	10995	10761	10763
245	10558	10999	10769	10771
245.5	10573	11008	10777	10778
246	10583	11013	10783	10786
246.5	10594	11022	10790	10794
247	10602	11032	10797	10801
247.5	10610	11040	10805	10809
248	10615	11045	10812	10816
248.5	10626	11053	10819	10823
249	10631	11062	10826	10830
249.5	10640	11072	10832	10837
250	10646	11084	10838	10843
250.5	10654	11090	10844	10850
251	10660	11099	10851	10857
251.5	10667	11109	10858	10864
252	10672	11120	10863	10870
252.5	10682	11131	10870	10877
253	10690	11139	10876	10884
253.5	10700	11152	10883	10890
254	10707	11161	10890	10897
254.5	10714	11170	10896	10904
255	10721	11177	10902	10910
255.5	10726	11183	10909	10917
256	10731	11193	10915	10924
256.5	10738	11201	10920	10930
257	10749	11213	10927	10937
257.5	10756	11227	10933	10944
258	10764	11237	10939	10951
258.5	10772	11257	10945	10958
259	10776	11270	10952	10964
259.5	10781	11287	10959	10971
260	10785	11305	10965	10978
260.5	10796	11312	10971	10985
261	10806	11318	10977	10992
261.5	10811	11325	10983	10998
262	10818	11330	10990	11005
262.5	10826	11341	10997	11012
263	10831	11347	11003	11018
263.5	10835	11360	11009	11025
264	10841	11373	11015	11032
264.5	10855	11395	11025	11042
265	10866	11406	11035	11052
265.5	10877	11421	11043	11062
266	10886	11442	11052	11072
266.5	10892	11457	11061	11082
267	10902	11481	11071	11092
267.5	10910	11495	11080	11102
