"age","sat","sat_sd","sat_upr","sat_lwr","cell_lon","cell_lat","dist_km"
100,9.7221097946167,0.532476425170898,10.7870626449585,8.6571569442749,357.5,59.684211730957,94.8507566371056
300,9.51501846313477,0.532349467277527,10.5797173976898,8.45031952857971,357.5,59.684211730957,94.8507566371056
500,9.42303657531738,0.663392126560211,10.7498208284378,8.09625232219696,357.5,59.684211730957,94.8507566371056
700,9.46247863769531,0.646817743778229,10.7561141252518,8.16884315013885,357.5,59.684211730957,94.8507566371056
900,9.5718183517456,0.681298792362213,10.93441593647,8.20922076702118,357.5,59.684211730957,94.8507566371056
1100,9.3779706954956,0.739159047603607,10.8562887907028,7.89965260028839,357.5,59.684211730957,94.8507566371056
1300,9.42108058929443,0.86845052242279,11.15798163414,7.68417954444885,357.5,59.684211730957,94.8507566371056
1500,9.46035671234131,0.842007279396057,11.1443712711334,7.77634215354919,357.5,59.684211730957,94.8507566371056
1700,9.48792171478271,0.802824139595032,11.0935699939728,7.88227343559265,357.5,59.684211730957,94.8507566371056
1900,9.56203556060791,0.875838100910187,11.3137117624283,7.81035935878754,357.5,59.684211730957,94.8507566371056
2100,9.45479583740234,0.962650835514069,11.3800975084305,7.52949416637421,357.5,59.684211730957,94.8507566371056
2300,9.5107011795044,0.863558411598206,11.2378180027008,7.78358435630798,357.5,59.684211730957,94.8507566371056
2500,9.50512790679932,0.921942949295044,11.3490138053894,7.66124200820923,357.5,59.684211730957,94.8507566371056
2700,9.5214786529541,0.870235562324524,11.2619497776031,7.78100752830505,357.5,59.684211730957,94.8507566371056
2900,9.31418704986572,1.05726099014282,11.4287090301514,7.19966506958008,357.5,59.684211730957,94.8507566371056
3100,9.30076217651367,1.03851747512817,11.37779712677,7.22372722625732,357.5,59.684211730957,94.8507566371056
3300,9.14925479888916,0.992768049240112,11.1347908973694,7.16371870040894,357.5,59.684211730957,94.8507566371056
3500,9.32736396789551,0.946915209293365,11.2211943864822,7.43353354930878,357.5,59.684211730957,94.8507566371056
3700,9.51059246063232,0.898295998573303,11.3071844577789,7.71400046348572,357.5,59.684211730957,94.8507566371056
3900,9.44565486907959,0.957946240901947,11.3615473508835,7.5297623872757,357.5,59.684211730957,94.8507566371056
4100,9.43789482116699,0.965477705001831,11.3688502311707,7.50693941116333,357.5,59.684211730957,94.8507566371056
4300,9.32974243164062,0.900840818881989,11.1314240694046,7.52806079387665,357.5,59.684211730957,94.8507566371056
4500,9.46525573730469,0.888249397277832,11.2417545318604,7.68875694274902,357.5,59.684211730957,94.8507566371056
4700,9.48578262329102,0.93215823173523,11.3500990867615,7.62146615982056,357.5,59.684211730957,94.8507566371056
4900,9.57020473480225,1.04794120788574,11.6660871505737,7.47432231903076,357.5,59.684211730957,94.8507566371056
5100,9.72761821746826,0.902828276157379,11.533274769783,7.9219616651535,357.5,59.684211730957,94.8507566371056
5300,9.25105476379395,1.01741230487823,11.2858793735504,7.21623015403748,357.5,59.684211730957,94.8507566371056
5500,9.31849098205566,1.02959299087524,11.3776769638062,7.25930500030518,357.5,59.684211730957,94.8507566371056
5700,9.28771114349365,0.978278994560242,11.2442691326141,7.33115315437317,357.5,59.684211730957,94.8507566371056
