"age","sst","sst_sd","sst_upr","sst_lwr","cell_lon","cell_lat","dist_km"
100,11.6631736755371,0.053204245865345,11.7695821672678,11.5567651838064,357.170593261719,60.5937194824219,72.982811110187
300,11.5317735671997,0.0619502775371075,11.6556741222739,11.4078730121255,357.170593261719,60.5937194824219,72.982811110187
500,11.420615196228,0.0358189977705479,11.4922531917691,11.3489772006869,357.170593261719,60.5937194824219,72.982811110187
700,11.4216709136963,0.0570067688822746,11.5356844514608,11.3076573759317,357.170593261719,60.5937194824219,72.982811110187
900,11.4897603988647,0.0498455241322517,11.5894514471292,11.3900693506002,357.170593261719,60.5937194824219,72.982811110187
1100,11.3424520492554,0.0651207193732262,11.4726934880018,11.2122106105089,357.170593261719,60.5937194824219,72.982811110187
1300,11.344988822937,0.0668158084154129,11.4786204397678,11.2113572061062,357.170593261719,60.5937194824219,72.982811110187
1500,11.3415403366089,0.0878387242555618,11.51721778512,11.1658628880978,357.170593261719,60.5937194824219,72.982811110187
1700,11.3250894546509,0.0566527582705021,11.4383949711919,11.2117839381099,357.170593261719,60.5937194824219,72.982811110187
1900,11.3604917526245,0.0661677718162537,11.492827296257,11.228156208992,357.170593261719,60.5937194824219,72.982811110187
2100,11.2976131439209,0.0933312699198723,11.4842756837606,11.1109506040812,357.170593261719,60.5937194824219,72.982811110187
2300,11.3469495773315,0.0604800246655941,11.4679096266627,11.2259895280004,357.170593261719,60.5937194824219,72.982811110187
2500,11.3736791610718,0.0837938860058784,11.5412669330835,11.20609138906,357.170593261719,60.5937194824219,72.982811110187
2700,11.3810262680054,0.0734959244728088,11.528018116951,11.2340344190598,357.170593261719,60.5937194824219,72.982811110187
2900,11.232720375061,0.137128785252571,11.5069779455662,10.9584628045559,357.170593261719,60.5937194824219,72.982811110187
3100,11.2277927398682,0.109895654022694,11.4475840479136,11.0080014318228,357.170593261719,60.5937194824219,72.982811110187
3300,11.1530199050903,0.0457861050963402,11.244592115283,11.0614476948977,357.170593261719,60.5937194824219,72.982811110187
3500,11.2403898239136,0.1171765178442,11.474742859602,11.0060367882252,357.170593261719,60.5937194824219,72.982811110187
3700,11.3199214935303,0.0687673464417458,11.4574561864138,11.1823868006468,357.170593261719,60.5937194824219,72.982811110187
3900,11.282961845398,0.05872593075037,11.4004137068987,11.1655099838972,357.170593261719,60.5937194824219,72.982811110187
4100,11.2757148742676,0.0648770332336426,11.4054689407349,11.1459608078003,357.170593261719,60.5937194824219,72.982811110187
4300,11.2362232208252,0.0643611028790474,11.3649454265833,11.1075010150671,357.170593261719,60.5937194824219,72.982811110187
4500,11.2839508056641,0.0615880936384201,11.4071269929409,11.1607746183872,357.170593261719,60.5937194824219,72.982811110187
4700,11.3099994659424,0.0947060659527779,11.4994115978479,11.1205873340368,357.170593261719,60.5937194824219,72.982811110187
4900,11.3890533447266,0.0737719088792801,11.5365971624851,11.241509526968,357.170593261719,60.5937194824219,72.982811110187
5100,11.4946098327637,0.0556994266808033,11.6060086861253,11.3832109794021,357.170593261719,60.5937194824219,72.982811110187
5300,11.2538328170776,0.0493673458695412,11.3525675088167,11.1550981253386,357.170593261719,60.5937194824219,72.982811110187
5500,11.2895622253418,0.0899104848504066,11.4693831950426,11.109741255641,357.170593261719,60.5937194824219,72.982811110187
5700,11.3001804351807,0.0864464491605759,11.4730733335018,11.1272875368595,357.170593261719,60.5937194824219,72.982811110187
5900,11.2889366149902,0.0564235635101795,11.4017837420106,11.1760894879699,357.170593261719,60.5937194824219,72.982811110187
6100,11.3892078399658,0.0603330060839653,11.5098738521338,11.2685418277979,357.170593261719,60.5937194824219,72.982811110187
