"age","sst","sst_sd","sst_upr","sst_lwr","cell_lon","cell_lat","dist_km"
100,12.0735263824463,0.0511570759117603,12.1758405342698,11.9712122306228,354.73828125,59.3804359436035,135.014460557661
300,11.9371166229248,0.0588324330747128,12.0547814890742,11.8194517567754,354.73828125,59.3804359436035,135.014460557661
500,11.8264026641846,0.0353103391826153,11.8970233425498,11.7557819858193,354.73828125,59.3804359436035,135.014460557661
700,11.8183708190918,0.0557340607047081,11.9298389405012,11.7069026976824,354.73828125,59.3804359436035,135.014460557661
900,11.872067451477,0.0488478653132915,11.9697631821036,11.7743717208505,354.73828125,59.3804359436035,135.014460557661
1100,11.7362756729126,0.0638924464583397,11.8640605658293,11.6084907799959,354.73828125,59.3804359436035,135.014460557661
1300,11.7355585098267,0.0647834092378616,11.8651253283024,11.6059916913509,354.73828125,59.3804359436035,135.014460557661
1500,11.7257537841797,0.0851282104849815,11.8960102051497,11.5554973632097,354.73828125,59.3804359436035,135.014460557661
1700,11.7092876434326,0.0550777427852154,11.819443129003,11.5991321578622,354.73828125,59.3804359436035,135.014460557661
1900,11.7366733551025,0.0640775114297867,11.8648283779621,11.608518332243,354.73828125,59.3804359436035,135.014460557661
2100,11.6744346618652,0.0917218625545502,11.8578783869743,11.4909909367561,354.73828125,59.3804359436035,135.014460557661
2300,11.7216243743896,0.0571425594389439,11.8359094932675,11.6073392555118,354.73828125,59.3804359436035,135.014460557661
2500,11.7493724822998,0.0819058492779732,11.9131841808558,11.5855607837439,354.73828125,59.3804359436035,135.014460557661
2700,11.7538919448853,0.071553185582161,11.8969983160496,11.6107855737209,354.73828125,59.3804359436035,135.014460557661
2900,11.6184883117676,0.132117956876755,11.8827242255211,11.3542523980141,354.73828125,59.3804359436035,135.014460557661
3100,11.6113529205322,0.106035806238651,11.8234245330095,11.3992813080549,354.73828125,59.3804359436035,135.014460557661
3300,11.5497350692749,0.0418884269893169,11.6335119232535,11.4659582152963,354.73828125,59.3804359436035,135.014460557661
3500,11.6202754974365,0.112838193774223,11.845951884985,11.3945991098881,354.73828125,59.3804359436035,135.014460557661
3700,11.6784362792969,0.0647974014282227,11.8080310821533,11.5488414764404,354.73828125,59.3804359436035,135.014460557661
3900,11.6548748016357,0.0560065545141697,11.7668879106641,11.5428616926074,354.73828125,59.3804359436035,135.014460557661
4100,11.6480264663696,0.0613606758415699,11.7707478180528,11.5253051146865,354.73828125,59.3804359436035,135.014460557661
4300,11.6112489700317,0.0619051121175289,11.7350591942668,11.4874387457967,354.73828125,59.3804359436035,135.014460557661
4500,11.654504776001,0.0589051842689514,11.7723151445389,11.5366944074631,354.73828125,59.3804359436035,135.014460557661
4700,11.683292388916,0.0918422117829323,11.8669768124819,11.4996079653502,354.73828125,59.3804359436035,135.014460557661
4900,11.7483577728271,0.0726393610239029,11.893636494875,11.6030790507793,354.73828125,59.3804359436035,135.014460557661
5100,11.8441791534424,0.0525510683655739,11.9492812901735,11.7390770167112,354.73828125,59.3804359436035,135.014460557661
5300,11.6175584793091,0.04623644053936,11.7100313603878,11.5250855982304,354.73828125,59.3804359436035,135.014460557661
5500,11.6473627090454,0.0870860144495964,11.8215347379446,11.4731906801462,354.73828125,59.3804359436035,135.014460557661
5700,11.6683559417725,0.0832778885960579,11.8349117189646,11.5018001645803,354.73828125,59.3804359436035,135.014460557661
5900,11.6497707366943,0.0547245852649212,11.7592199072242,11.5403215661645,354.73828125,59.3804359436035,135.014460557661
6100,11.7369995117188,0.0582051500678062,11.8534098118544,11.6205892115831,354.73828125,59.3804359436035,135.014460557661
6300,11.822211265564,0.0734288841485977,11.9690690338612,11.6753534972668,354.73828125,59.3804359436035,135.014460557661
6500,11.956563949585,0.0577486380934715,12.0720612257719,11.841066673398,354.73828125,59.3804359436035,135.014460557661
6700,11.9319305419922,0.0674806907773018,12.0668919235468,11.7969691604376,354.73828125,59.3804359436035,135.014460557661
6900,11.7826709747314,0.0366029888391495,11.8558769524097,11.7094649970531,354.73828125,59.3804359436035,135.014460557661
7100,11.9056577682495,0.0732399746775627,12.0521377176046,11.7591778188944,354.73828125,59.3804359436035,135.014460557661
7300,11.6661319732666,0.0983859896659851,11.8629039525986,11.4693599939346,354.73828125,59.3804359436035,135.014460557661
7500,11.8257522583008,0.069411613047123,11.964575484395,11.6869290322065,354.73828125,59.3804359436035,135.014460557661
7700,11.7483673095703,0.0533766858279705,11.8551206812263,11.6416139379144,354.73828125,59.3804359436035,135.014460557661
7900,11.9219388961792,0.0656405910849571,12.0532200783491,11.7906577140093,354.73828125,59.3804359436035,135.014460557661
8100,11.9593458175659,0.0944047942757607,12.1481554061174,11.7705362290144,354.73828125,59.3804359436035,135.014460557661
8300,12.0637254714966,0.108118586242199,12.279962643981,11.8474882990122,354.73828125,59.3804359436035,135.014460557661
8500,12.0854892730713,0.112162411212921,12.3098140954971,11.8611644506454,354.73828125,59.3804359436035,135.014460557661
8700,11.8507699966431,0.0760690718889236,12.0029081404209,11.6986318528652,354.73828125,59.3804359436035,135.014460557661
8900,11.7904834747314,0.0947993099689484,11.9800820946693,11.6008848547935,354.73828125,59.3804359436035,135.014460557661
9100,11.9754610061646,0.0673681348562241,12.110197275877,11.8407247364521,354.73828125,59.3804359436035,135.014460557661
9300,11.6008138656616,0.144731864333153,11.8902775943279,11.3113501369953,354.73828125,59.3804359436035,135.014460557661
9500,11.1547269821167,0.0642872229218483,11.2833014279604,11.026152536273,354.73828125,59.3804359436035,135.014460557661
9700,11.1362867355347,0.0877170190215111,11.3117207735777,10.9608526974916,354.73828125,59.3804359436035,135.014460557661
9900,11.1301937103271,0.0999934300780296,11.3301805704832,10.9302068501711,354.73828125,59.3804359436035,135.014460557661
10100,10.9729537963867,0.0911604836583138,11.1552747637033,10.7906328290701,354.73828125,59.3804359436035,135.014460557661
10300,10.9753274917603,0.0840900838375092,11.1435076594353,10.8071473240852,354.73828125,59.3804359436035,135.014460557661
10500,10.8356943130493,0.146112412214279,11.1279191374779,10.5434694886208,354.73828125,59.3804359436035,135.014460557661
10700,10.7107076644897,0.098672591149807,10.9080528467894,10.5133624821901,354.73828125,59.3804359436035,135.014460557661
10900,10.3562984466553,0.123177073895931,10.6026525944471,10.1099442988634,354.73828125,59.3804359436035,135.014460557661
11100,10.0253314971924,0.107054769992828,10.239441037178,9.81122195720673,354.73828125,59.3804359436035,135.014460557661
11300,9.83487033843994,0.090914323925972,10.0166989862919,9.653041690588,354.73828125,59.3804359436035,135.014460557661
11500,9.41496181488037,0.124989405274391,9.66494062542915,9.16498300433159,354.73828125,59.3804359436035,135.014460557661
11700,8.7657413482666,0.139934182167053,9.04560971260071,8.4858729839325,354.73828125,59.3804359436035,135.014460557661
11900,8.15035438537598,0.126857966184616,8.40407031774521,7.89663845300674,354.73828125,59.3804359436035,135.014460557661
12100,7.77195453643799,0.102858118712902,7.97767077386379,7.56623829901218,354.73828125,59.3804359436035,135.014460557661
12300,7.31968688964844,0.103328637778759,7.52634416520596,7.11302961409092,354.73828125,59.3804359436035,135.014460557661
12500,7.1106972694397,0.117945678532124,7.34658862650394,6.87480591237545,354.73828125,59.3804359436035,135.014460557661
12700,7.07087850570679,0.0766618847846985,7.22420227527618,6.91755473613739,354.73828125,59.3804359436035,135.014460557661
12900,7.4697470664978,0.068094789981842,7.60593664646149,7.33355748653412,354.73828125,59.3804359436035,135.014460557661
13100,7.91750335693359,0.0983416885137558,8.1141867339611,7.72081997990608,354.73828125,59.3804359436035,135.014460557661
13300,8.08220481872559,0.111532144248486,8.30526910722256,7.85914053022861,354.73828125,59.3804359436035,135.014460557661
13500,7.816481590271,0.0970184728503227,8.01051853597164,7.62244464457035,354.73828125,59.3804359436035,135.014460557661
13700,7.50234365463257,0.148654952645302,7.79965355992317,7.20503374934196,354.73828125,59.3804359436035,135.014460557661
13900,7.23397207260132,0.0707461163401604,7.37546430528164,7.092479839921,354.73828125,59.3804359436035,135.014460557661
14100,7.09803628921509,0.0851756036281586,7.2683874964714,6.92768508195877,354.73828125,59.3804359436035,135.014460557661
14300,6.91470575332642,0.0812458544969559,7.07719746232033,6.7522140443325,354.73828125,59.3804359436035,135.014460557661
14500,6.54755020141602,0.112493358552456,6.77253691852093,6.3225634843111,354.73828125,59.3804359436035,135.014460557661
14700,6.0142240524292,0.127562075853348,6.2693482041359,5.7590999007225,354.73828125,59.3804359436035,135.014460557661
14900,5.61155319213867,0.126156315207481,5.86386582255363,5.35924056172371,354.73828125,59.3804359436035,135.014460557661
15100,5.24024868011475,0.122026354074478,5.4843013882637,4.99619597196579,354.73828125,59.3804359436035,135.014460557661
15300,4.97677564620972,0.104117050766945,5.18500974774361,4.76854154467583,354.73828125,59.3804359436035,135.014460557661
15500,4.82432556152344,0.135730713605881,5.0957869887352,4.55286413431168,354.73828125,59.3804359436035,135.014460557661
15700,4.5839409828186,0.158441126346588,4.90082323551178,4.26705873012543,354.73828125,59.3804359436035,135.014460557661
15900,4.04109144210815,0.158621773123741,4.35833498835564,3.72384789586067,354.73828125,59.3804359436035,135.014460557661
