"","tax_name","ExrNTC_S49","LibNTC_S51","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"556","Telmatherina",0,0,62,0,0,0,0,0,0,0,0,0,120,0,55,161,0,0,0,0,0,0,0,0,0,0,72,0,77,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"557","Temora",0,0,0,0,0,0,73,0,0,0,90,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"558","Tenthredo",0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,86,0,0,0,0,0,0,0,0,0,0,53,0,58,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"559","Terebella",0,0,0,0,0,0,0,0,0,0,0,62,79,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
"560","Tetramorium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"561","Tetrao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"562","Thalassophryne",0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
"563","Thamnophis",0,0,0,0,95,0,0,0,0,0,0,53,0,0,56,0,0,0,0,0,0,66,0,0,0,72,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0
"564","Thelaira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565","Thrips",0,0,0,0,0,0,0,0,0,0,0,0,80,0,70,101,0,0,0,0,0,0,0,0,0,0,69,0,83,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"566","Thunnus",0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,139,0,0,0,0,0,0,0,0,0,0,53,0,69,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"567","Thymelicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"568","Timandra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"569","Timema",0,0,70,0,74,0,0,0,54,0,60,87,275,0,159,390,65,0,51,0,53,142,63,0,0,95,160,0,210,397,73,0,0,0,0,80,0,0,0,0,0,68,85,0,115,0
"570","Tinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"571","Topomyia",0,0,0,59,55,0,54,0,0,0,0,58,171,0,100,132,0,0,0,0,0,0,0,0,0,51,91,0,67,609,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0
"572","Toxorhynchites",0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,79,0,0,0,0,0,0,0,0,0,0,55,0,51,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"573","Trachurus",0,0,0,0,0,0,0,0,54,0,0,65,1030,82,79,210,0,0,0,0,0,0,88,0,0,0,77,0,83,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"574","Trachymyrmex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"575","Trichosurus",0,0,52,0,74,0,0,0,0,0,0,69,0,0,95,0,0,0,0,0,0,63,52,0,0,60,107,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,84,0,0,0
"576","Tridacna",0,0,0,0,59,0,0,0,0,0,0,0,89,0,65,115,0,0,0,0,0,0,0,0,0,0,72,0,116,123,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0
"577","Tuberolachnus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"578","Tupaia",0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"579","Uranotaenia",0,0,53,0,81,59,66,51,69,66,110,89,237,0,167,274,60,53,62,73,62,171,82,50,0,94,127,0,126,597,0,0,0,64,59,55,0,0,0,0,0,58,97,0,0,0
"580","Urocitellus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"581","Ursus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582","Vanessa",0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"583","Vespa",0,0,0,0,68,0,0,0,0,53,55,70,249,0,144,374,73,0,0,0,0,84,63,69,0,101,169,0,265,361,0,0,0,0,0,88,0,0,0,0,0,0,102,116,0,0
"584","Vespula",0,0,0,0,52,0,0,0,0,0,0,0,165,0,89,227,0,0,0,0,0,0,0,0,0,64,93,0,168,270,0,0,0,0,0,75,0,0,0,0,0,0,55,57,0,0
"585","Villa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586","Vipera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"587","Vombatus",0,0,0,0,0,0,0,0,0,0,0,72,0,0,83,0,0,0,0,0,0,72,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
"588","Vulpes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"589","Wasmannia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"590","Wyeomyia",0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0
"591","Xenopus",0,0,65,0,76,90,0,0,63,52,72,106,0,0,60,0,52,0,0,0,0,76,77,0,0,83,95,0,0,0,0,0,54,0,90,0,65,51,0,0,0,0,122,0,152,0
"592","Xestia",0,0,0,0,0,54,50,0,0,0,0,51,104,0,67,90,0,0,0,0,0,67,0,0,0,0,73,0,76,176,0,0,0,0,0,0,0,0,0,0,0,52,56,0,0,0
"593","Xyrauchen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
"594","Ylistrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,70,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"595","Yponomeuta",0,0,0,0,0,0,0,0,0,0,0,0,108,0,56,123,0,0,0,0,0,52,0,0,0,0,57,0,68,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"596","Ypsolopha",0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"597","Zeugodacus",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
