"","tax_name","ExrNTC_S49","LibNTC_S51","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"471","Pongo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"472","Porites",0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"473","Portunus",0,0,165,112,177,153,117,72,79,134,194,245,948,109,411,1341,191,86,91,82,340,370,245,242,59,244,366,101,928,1203,125,75,120,95,137,162,112,201,51,98,85,128,294,336,102,0
"474","Priapulus",0,0,1269,3047,1554,1283,1700,869,871,404,475,518,807,4086,315,662,311,1014,1338,1647,1123,1023,286,136,0,333,481,0,960,838,2395,875,923,1398,1851,2307,892,10304,26119,538,412,4827,797,1586,1413,417
"475","Procambarus",0,0,195,77,132,97,133,126,61,111,107,157,448,106,266,637,94,68,71,68,106,150,98,71,0,182,277,0,355,1250,98,78,105,162,102,92,71,63,0,0,59,61,161,0,94,0
"476","Protonemura",0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0
"477","Protopterus",0,0,308,0,409,0,0,0,0,0,272,351,0,228,307,0,163,0,0,0,0,350,303,213,0,387,453,82,0,0,0,0,0,0,0,0,0,183,0,146,0,0,448,0,398,81
"478","Protula",0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,56,0,0,0,0,57,0,62,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479","Pseudochaenichthys",0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480","Pseudoliparis",0,0,0,0,0,0,0,0,0,0,0,52,88,0,0,0,0,0,0,0,0,0,53,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481","Psylliodes",0,0,0,0,50,0,0,0,0,0,89,106,334,80,185,425,69,0,0,0,52,117,101,73,0,138,211,0,209,1075,0,0,0,59,54,0,0,0,0,0,0,64,118,0,50,0
"482","Pteropus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
