"","tax_name","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"77","Crataegus",NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Cryptogramma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Cryptomeria",NA,119,NA,107,178,NA,NA,95,102,147,166,395,77,268,NA,128,99,NA,NA,93,236,124,89,NA,168,247,NA,371,74,97,80,101,122,113,138,86,68,54,62,55,84,192,NA,119,NA
"80","Cucumis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA
"81","Cymbalaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Cymbomonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,57,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,82,NA,NA,NA
"83","Cynoglossum",NA,NA,NA,NA,NA,NA,NA,NA,NA,173,378,375,NA,NA,NA,81,NA,NA,NA,NA,633,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA
"84","Cyperus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Cystopteris",NA,NA,NA,NA,NA,NA,73,NA,67,62,2159,116,71,81,NA,NA,NA,NA,NA,NA,637,NA,100,NA,250,73,66,125,108,NA,NA,NA,56,NA,NA,102,NA,NA,NA,111,NA,81,195,NA,NA
"86","Dactylis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Dactylorhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Danthonia",NA,NA,NA,NA,NA,688,66,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Dendrobium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Dicentra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Diphasiastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,152,NA,NA,NA
"92","Diplazium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916,55,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,NA,NA,108,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,141,NA,NA
"93","Draba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,53,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Drosera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Dryas",NA,NA,NA,NA,91,NA,NA,NA,52,83,85,226,NA,129,NA,103,NA,NA,NA,NA,64,62,NA,NA,68,85,51,250,303,NA,NA,NA,NA,NA,NA,NA,105,NA,57,NA,NA,133,121,1019,NA
"96","Dryopteris",NA,NA,NA,NA,NA,NA,91,1100,1378,3098,2719,8256,2267,6268,156,NA,NA,NA,931,1183,8273,1115,2022,195,8514,2783,1368,8596,3142,NA,NA,NA,127,2037,2409,3472,1252,101,627,15987,3176,3205,20738,NA,NA
"97","Dunaliella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Durio",NA,NA,NA,NA,NA,76,NA,66,NA,65,77,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Elatine",NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,51,NA,61,NA,58,NA,NA,NA,NA,NA,NA,123,NA
"100","Eleocharis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,101,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,105,NA,82,102,NA,NA,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA
"101","Elliptochloris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Elymus",NA,NA,NA,NA,NA,NA,NA,58,NA,NA,172,579,114,160,NA,NA,NA,NA,NA,NA,158,NA,55,NA,NA,92,NA,294,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,51,NA,NA,NA,NA,NA
"103","Empetrum",NA,NA,52,NA,NA,318,NA,NA,NA,NA,106,NA,NA,NA,NA,85,NA,102,NA,611,101,NA,211,572,NA,NA,155,NA,NA,NA,NA,NA,332,NA,NA,NA,NA,113,135,352,NA,429,NA,NA,NA
"104","Epilobium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Equisetum",NA,NA,NA,62,66,60,57,77,170,547,1746,716,285,215,NA,69,NA,187,NA,99,357,80,NA,NA,128,810,NA,377,342,NA,NA,NA,4246,87,NA,141,90,223,265,89,99,242,77,NA,NA
"106","Erica",NA,70,65,101,646,1433,594,814,541,445,12161,173,NA,NA,NA,NA,NA,190,59,NA,4348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,58,310,205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Eriophorum",NA,NA,51,57,79,350,132,NA,NA,133,709,218,129,207,NA,NA,NA,NA,NA,NA,422,NA,NA,NA,110,666,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA
"108","Euphrasia",NA,NA,NA,NA,NA,NA,NA,592,NA,NA,66,1311,170,103,NA,NA,NA,NA,52,NA,420,NA,NA,NA,559,91,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Fagus",NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Festuca",NA,NA,94,150,NA,128,334,306,297,258,1543,1892,247,356,NA,NA,NA,NA,NA,84,1130,140,227,60,124,643,53,462,451,NA,NA,NA,52,NA,NA,90,75,NA,NA,NA,NA,82,313,NA,78
"111","Filipendula",NA,NA,NA,NA,89,155,219,829,3347,11054,425854,12867,6772,26865,NA,NA,NA,129,178,506,37336,1631,159,858,5178,12652,507,154,122,NA,83,296,130,76,519,1727,2354,620,2250,3082,660,6591,2542,NA,145
"112","Fragaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Galium",NA,76,NA,NA,NA,NA,NA,56,NA,NA,74,86,NA,56,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Geum",NA,NA,NA,NA,NA,NA,NA,NA,280,118,800,247,646,295,1053,NA,NA,NA,52,NA,1243,NA,NA,NA,63,221,NA,64,115,NA,NA,NA,NA,NA,NA,81,53,NA,88,53,NA,89,NA,NA,NA
"115","Goodyera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA
"116","Gossypium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,66,NA,NA,NA,NA,NA,77,56,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Gymnocarpium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927,NA,NA,181,NA,NA,NA,NA,NA,NA,184,NA,293,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1182,NA,NA
"118","Hammarbya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Hedera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,108,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,56,NA,76,72,NA,NA,NA,NA,NA,NA,239,NA,NA,NA,524,NA,NA,NA,NA,NA
"120","Hedlundia",NA,NA,NA,NA,NA,NA,NA,1209,NA,248,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,86,NA,NA,NA,NA,NA,NA,NA,NA
"121","Helianthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,85,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,62,NA,79,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Helictochloa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Hevea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Hibiscus",NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,102,NA,NA,62,NA,NA,NA,89,NA,NA,NA,70,101,NA,126,84,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,51,NA
"125","Hippuris",NA,87,162,65,64,76,76,58,NA,NA,69,76,65,NA,NA,NA,111,194,52,103,72,NA,NA,NA,NA,63,NA,NA,100,83,NA,60,100,157,165,64,112,NA,NA,98,93,71,NA,51,NA
"126","Honckenya",NA,NA,NA,NA,NA,NA,NA,NA,671,77,173,320,160,115,NA,NA,NA,NA,NA,NA,230,57,NA,NA,157,3980,NA,187,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,53,65,86,NA,NA
"127","Hordelymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Hordeum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,79,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Hydrocotyle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Impatiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,53,51,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,64,NA,56,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Ipomoea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,91,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Isoetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Isothecium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Jasminum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Juglans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Juncus",NA,NA,NA,99,NA,413,167,NA,NA,NA,79,179,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,65,58,NA,66,88,NA,NA,NA,NA,NA,59,68,54,NA,75,NA,NA,73,349,NA,NA
"137","Juniperus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Kalmia",NA,NA,NA,NA,NA,50,NA,NA,NA,68,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Lactuca",NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,96,NA,66,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,58,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA
"140","Lathyrus",NA,NA,NA,NA,65,53,62,966,784,2198,21086,3503,1231,163,NA,NA,NA,NA,NA,292,13545,150,168,86,437,300,NA,357,151,NA,52,NA,78,810,339,839,800,2228,1117,3095,NA,NA,NA,NA,NA
"141","Lemna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,89,NA
"142","Leymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,84,114,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,71,259,NA,337,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
"143","Ligusticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA
"144","Lolium",NA,NA,NA,NA,NA,52,50,NA,NA,64,154,259,NA,85,59,NA,NA,NA,NA,NA,123,NA,NA,NA,64,95,NA,98,63,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Lotus",NA,139,74,54,NA,NA,65,88,NA,74,55,136,53,76,NA,NA,NA,66,NA,NA,80,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,68,NA,NA,NA,84,NA,NA,NA,NA,NA
"146","Lupinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Luzula",NA,NA,NA,356,NA,NA,NA,NA,NA,NA,55,107,NA,84,53,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,78,NA,114,106,NA,NA,NA,NA,NA,NA,66,60,NA,NA,NA,NA,65,NA,NA,NA
"148","Lycium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Lycopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA
"150","Lysimachia",NA,NA,NA,NA,NA,NA,NA,NA,NA,99,54,224,75,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,151,166,NA,NA,61,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA
"151","Macadamia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Magnolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Malania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,113,NA,96,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,64,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Malus",NA,NA,NA,NA,NA,NA,NA,541,54,345,793,3750,NA,NA,79,NA,NA,NA,NA,176,3016,228,652,NA,NA,NA,NA,70,60,NA,NA,NA,NA,NA,NA,326,244,167,409,429,NA,NA,NA,NA,NA
"155","Matricaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Matteuccia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Medicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Melampyrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,92,NA,NA,NA,NA,NA,NA,NA,NA,627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Menyanthes",NA,NA,NA,NA,NA,NA,NA,NA,68,166,204,88,NA,2566,NA,NA,NA,NA,NA,NA,29731,NA,NA,NA,231,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,120,132,NA,NA,NA,NA,NA
"160","Mertensia",NA,NA,NA,NA,NA,NA,NA,NA,247,NA,72,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Micromonas",NA,404,161,184,202,598,403,262,325,749,1057,2317,831,3541,6237,1827,119,102,117,376,1112,865,527,198,2356,6192,690,7658,3794,NA,52,149,257,203,278,421,247,119,255,520,1949,9177,4298,812,NA
"162","Molinia",NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Myosotis",NA,70,52,NA,NA,NA,NA,NA,NA,55,166,177,171,205,NA,NA,63,NA,NA,NA,178,NA,NA,NA,93,92,NA,76,188,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,71,NA,NA,NA
"164","Myriophyllum",NA,52,50,158,69,623,654,175,84,5457,39071,2610,2300,5577,64,743,52,52,181,NA,669808,3529,204,209,2196,6478,1486,3606,5509,NA,59,85,243,NA,72,488,63,51,61,3753,82,242,761,54,NA
"165","Neottia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Nicotiana",NA,NA,NA,NA,64,NA,NA,NA,NA,NA,60,145,NA,86,NA,NA,NA,91,NA,172,85,55,NA,NA,54,94,NA,122,NA,NA,NA,NA,NA,NA,187,NA,95,NA,NA,NA,NA,70,NA,NA,NA
"167","Nymphaea",NA,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,1280,NA,82,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Oreojuncus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Oreopteris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Ostreobium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Ostreococcus",NA,NA,NA,75,NA,NA,NA,NA,NA,NA,54,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Papaver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Pedicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Persicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Petasites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
